ID,Northing,Easting,Lat,Long,Height,Valve ID
1,839329.446,820159.937,22.32044435,114.2065889,4.022,N647791
2,839330.698,820160.673,22.32045099,114.206601,3.966,N647793
3,839328.531,820161.147,22.32045528,114.20658,3.984,N647790
4,839400.538,820164.921,22.32048923,114.2072789,4.611,---
5,839401.489,820165.451,22.32049401,114.2072881,4.598,Y684431
6,839403.326,820165.584,22.32049521,114.207306,4.589,Y684430
7,839406.778,820165.604,22.32049538,114.2073395,4.59,Y658349
8,839398.835,820165.8,22.32049717,114.2072624,4.605,---
9,839400.431,820165.809,22.32049725,114.2072779,4.598,---
10,839402.443,820166.009,22.32049905,114.2072974,4.582,Y658348
11,839399.681,820166.134,22.32050018,114.2072706,4.598,---
12,839405.987,820166.588,22.32050427,114.2073318,4.574,Y658435
13,839321.191,820175.448,22.32058444,114.2065088,3.79,---
14,839400.555,820195.949,22.32076943,114.2072791,4.324,N523423
15,839400.168,820197.299,22.32078162,114.2072754,4.325,N523409
16,839405.344,820198.014,22.32078807,114.2073256,4.492,---
17,839400.407,820198.16,22.3207894,114.2072777,4.32,N523390
18,839405.13,820198.266,22.32079034,114.2073235,4.491,---
19,839403.725,820216.158,22.32095192,114.2073099,4.412,---
20,839398.919,820218.417,22.32097233,114.2072633,4.199,---
21,839399.515,820219.013,22.32097771,114.2072691,4.194,---
22,839402.303,820221.206,22.32099751,114.2072962,4.342,---
23,839398.374,820222.953,22.32101329,114.207258,4.2,---
24,839401.668,820223.747,22.32102046,114.20729,4.323,---
25,839401.932,820224.039,22.3210231,114.2072926,4.348,---
26,839398.603,820224.471,22.321027,114.2072602,4.183,---
27,839397.344,820224.481,22.3210271,114.207248,4.224,---
28,839391.656,820224.718,22.32102925,114.2071928,4.337,---
29,839392.07,820224.845,22.32103039,114.2071968,4.314,---
30,839397.747,820225.315,22.32103463,114.2072519,4.202,---
31,839392.166,820225.35,22.32103495,114.2071978,4.302,---
32,839391.425,820225.381,22.32103523,114.2071906,4.329,---
33,839391.124,820225.948,22.32104035,114.2071877,4.337,---
34,839391.999,820226.272,22.32104328,114.2071962,4.309,---
35,839391.673,820226.34,22.32104389,114.207193,4.32,---
36,839397.198,820226.489,22.32104523,114.2072466,4.182,---
37,839397.943,820227.287,22.32105243,114.2072538,4.186,---
38,839304.108,820234.722,22.32111974,114.2063431,3.972,---
39,839306.356,820237.415,22.32114406,114.2063649,4.043,D500606
40,839304.683,820237.439,22.32114428,114.2063487,3.977,N500607
41,839301.824,820251.172,22.3212683,114.206321,3.975,Y658143
42,839302.786,820262.869,22.32137393,114.2063303,4.089,N522933
43,839313.271,820264.868,22.32139196,114.2064321,3.999,N522943
44,839299.211,820266.841,22.32140981,114.2062956,4.042,Y658074
45,839399.014,820266.879,22.32140997,114.2072643,4.213,N522910
46,839394.317,820267.154,22.32141246,114.2072187,4.073,N522904
47,839302.308,820270.241,22.32144051,114.2063257,4.126,M522864
48,839350.046,820278.286,22.32151307,114.2067891,4.07,---
49,839355.761,820278.464,22.32151467,114.2068445,4.12,N522828
50,839354.976,820279.102,22.32152043,114.2068369,4.108,N522815
51,839356.815,820279.46,22.32152366,114.2068548,4.105,N522809
52,839361.81,820279.51,22.3215241,114.2069032,4.114,N522805
53,839362.507,820280.116,22.32152958,114.20691,4.109,Y658046
54,839311.377,820287.374,22.32159521,114.2064137,3.945,Y658017
55,839378.428,820291.314,22.32163067,114.2070646,4.257,---
56,839296.027,820304.805,22.32175265,114.2062648,4.127,Y658007
57,839249.5,820327.329,22.32195614,114.2058132,4.227,---
58,839250.186,820327.42,22.32195696,114.2058199,4.231,---
59,839229.675,820335.846,22.32203308,114.2056208,4.158,N522361
60,839230.192,820336.64,22.32204025,114.2056258,4.138,Y657881
61,839246.852,820336.974,22.32204324,114.2057876,4.047,N577000
62,839247.625,820337.123,22.32204459,114.2057951,4.038,N577001
63,839241.261,820337.802,22.32205073,114.2057333,4.062,---
64,839248.032,820337.987,22.32205239,114.205799,4.029,Y678529
65,839261.23,820338.136,22.32205371,114.2059271,4.055,N522351
66,839259.977,820338.77,22.32205944,114.2059149,4.043,N522344
67,839279.285,820340.401,22.32207413,114.2061024,4.088,N869366
68,839278.459,820341.149,22.32208089,114.2060943,4.066,N869367
